name,nationality,gender,birthdate
Mathew B. Brady (studio of),American,Male,1823
Joe Brainard,American,Male,1942
Emile Branchard,American,Male,1881
Constantin Brancusi,French,Male,1876
Bill Brandt,British,Male,1904
Marianne Brandt,German,Female,1893
Robert Brandwein,American,Male,1933
Frank Brangwyn,British,Male,1867
Georges Braque,French,Male,1882
Brassaï (Gyula Halász),French,Male,1899
John Randall Bratby,British,Male,1928
Pieter Brattinga,Dutch,Male,1931
Adolphe Braun,French,Male,1812
Victor Brauner,Romanian,Male,1903
Troy Brauntuch,American,Male,1954
Claudio Bravo,Chilean,Male,1936
Stipe Brcic,Yugoslav,Male,1948
George Brecht,American,Male,1926
Charles H. Breed,American,Male,1876
Robert Breer,American,Male,1926
Carl-Arne Breger,Swedish,Male,1923
KP Brehmer,German,Male,1938
Raymond Breinin,American,Male,1910
Joseph Breitenbach,American,Male,1896
Uwe Bremer,German,Male,1940
Miguel Bresciano,Uruguayan,Male,1937
Rodolphe Bresdin,French,Male,1822
André Breton,French,Male,1896
Marcel Breuer,American,Male,1902
William Brice,American,Male,1921
Marilyn Bridges,American,Female,1948
Barry Bridgwood,American,Male,1957
Judson Briggs,American,Male,1906
Anne W. Brigman,American,Female,1869
Serge Brignoni,Swiss,Male,1903
Denis Brihat,French,Male,1928
Enrique Brinkmann,Spanish,Male,1938
Horace Bristol,American,Male,1908
René Brô,French,Male,1930
John Brockman,American,Male,1941
Gottfried Brockmann,German,Male,1903
Gandy Brodie,American,Male,1925
Alexey Brodovitch,American,Male,1898
Jürgen Brodwolf,Swiss,Male,1932
Stephen Brody,American,Male,1926
Horace Brodzky,American,Male,1885
Stig Brøgger,Danish,Male,1941
Robert Broner,American,Male,1922
Marcel Broodthaers,Belgian,Male,1924
Alexander Brook,American,Male,1898
John Brook,American,Male,1924
James Brooks,American,Male,1906
Milton Brooks,American,Male,1901
Wendell Brooks,American,Male,1939
Harry Brorby,American,Male,1927
Joan Brossa,Spanish,Male,1919
Gary Stephen Brotmeyer,American,Male,1946
Arthur William Brown,American,Male,1881
Gustav A. Brown,American,Male,1908
James Brown,American,Male,1951
Joan Brown,American,Female,1938
Kathan Brown,American,Female,1935
Ray Brown,American,Male,1933
Roger Brown,American,Male,1941
Byron Browne,American,Male,1907
Colleen Browning,American,Female,1923
Robert Brownjohn,American,Male,1925
Kenneth Brozen,American,Male,1927
Roser Llop Bru,Chilean,Female,1923
Salvador Bru,Chilean,Male,1923
Jon O. Brubaker,American,Male,1875
Patrick Henry Bruce,American,Male,1881
Anton Bruehl,American,Male,1900
Francis Bruguière,American,Male,1879
Paul Brühwiler,Swiss,Male,1939
William Brui,Israeli,Male,1946
Donald Brun,Swiss,Male,1909
Peter Brüning,German,Male,1929
Robert Brunner,American,Male,1958
Norman Bruns,American,Male,1921
Günter Brus,Austrian,Male,1938
Grisha Bruskin,Russian,Male,1945
Wim Brusse,Dutch,Male,1910
William Bryant,American,Male,1946
Camille Bryen,French,Female,1907
Tadeusz Brzozowski,Polish,Male,1918
Gernot Bubenik,German,Male,1942
Boris Bu_an,Croatian,Male,1947
Erich Buchegger,Austrian,Male,1924
Gustave Buchet,Swiss,Male,1888
Carl Buchheister,German,Male,1890
Erich Buchholz,German,Male,1891
John Buck,American,Male,1946
John Buckland-Wright,British,Male,1897
Peter H. Buckley,American,Male,1925
David Budd,American,Male,1927
Dan Budnik,American,Male,1933
Eugene Buechel,American,Male,1874
Alice Standish Buell,American,Female,1892
Bernard Buffet,French,Male,1928
Fritz Bühler,Swiss,Male,1909
Felix Buhot,French,Male,1847
Adam Bujak,Polish,Male,1940
John G. Bullock,American,Male,1854
Wynn Bullock,American,Male,1902
Torun Bülow-Hübe,Swedish,Female,1929
Louis Bunce,American,Male,1907
Willi Bunkowski,German,Male,1949
Pierre Buraglio,French,Male,1939
Pablo Burchard,Chilean,Male,1875
Max Burchartz,German,Male,1887
Charles Burchfield,American,Male,1893
Chris Burden,American,Male,1946
Daniel Buren,French,Male,1938
Bill Burke,American,Male,1943
Paul Burlin,American,Male,1886
David Burliuk,Ukrainian,Male,1882
Ian Burn,Australian,Male,1939
Edward Burne-Jones,British,Male,1833
Deirdre Burnett,British,Female,1939
Joseph Burnett,American,Male,1923
Marsha Burns,American,Female,1945
Edward Burra,British,Male,1905
Alberto Burri,Italian,Male,1915
René Burri,Swiss,Male,1933
Larry Burrows,British,Male,1926
Richmond Burton,American,Male,1960
Scott Burton,American,Male,1939
Pol Bury,Belgian,Male,1922
Andrew Foster Bush,American,Male,1956
Jack Bush,Canadian,Male,1909
Wolf von dem Bussche,American,Male,1934
Solomon D. Butcher,American,Male,1856
Frances Butler,American,Female,1940
Horacio A. Butler,Argentine,Male,1897
Reg Butler,British,Male,1913
Elizabeth Butterworth,British,Female,1949
James Lee Byars,American,Male,1932
Michael Byron,American,Male,1954
Luigi Caccia Dominioni,Italian,Male,1913
John Cadenhead,American,Male,1937
Paul Cadmus,American,Male,1904
Poul Cadovius,Danish,Male,1911
Deborah Fleming Caffery,American,Female,1948
John Cage,American,Male,1912
Corrado Cagli,American,Male,1910
Miriam Cahn,Swiss,Female,1949
Marcelle Cahn,French,Female,1895
Fred Cain,American,Male,1938
José Milner Cajahuaringa,Peruvian,Male,1932
Charles Cajori,American,Male,1921
Letterio Calapai,American,Male,1902
Nicolas Calas,American,Male,1907
Lawrence Calcagno,American,Male,1916
Alexander Calder,American,Male,1898
Dale R. Caldwell,American,Male,1929
Harry Callahan,American,Male,1912
Kenneth Callahan,American,Male,1905
Mary Callery,American,Female,1903
Jo Ann Callis,American,Female,1940
Julia Margaret Cameron,British,Female,1815
Julio Camino Sanchez,Peruvian,Male,1919
Luis Camnitzer,Uruguayan,Male,1937
Charles Camoin,French,Male,1879
Jewett Campbell,American,Male,1912
Steven Campbell,British,Male,1954
Heinrich Campendonk,German,Male,1889
Antonia Campi,Italian,Female,1921
Massimo Campigli,Italian,Male,1895
Peter Campus,American,Male,1937
Vincent Canadé,American,Male,1879
Cañavate,Spanish,Male,1902
John Candelario,American,Male,1916
Louis Cane,French,Male,1943
Giacomo Caneva,Italian,Male,1810
Johannes Canis,German,Male,1895
Rafael Canogar,Spanish,Male,1935
Domenico Cantatore,Italian,Male,1906
Cornell Capa,American,Male,1918
Robert Capa,American,Male,1913
Bruno Capacci,Italian,Male,1906
Josef Capek,Czech,Male,1887
Alfred Capel-Cure,British,Male,1826
Giuseppe Capogrossi,Italian,Male,1900
Paul Caponigro,American,Male,1932
Leonetto Cappiello,French,Male,1875
Luis B. Caputo Demarco,Argentine,Male,1899
Michel Cardena,Dutch,Male,1934
Augustin Càrdenas,Cuban,Male,1927
Santiago Cárdenas,Colombian,Male,1937
Emil Cardinaux,Swiss,Male,1877
José Bernardo Cardoso Jr.,Brazilian,Male,1861
Etienne Carjat,French,Male,1829
Arthur B. Carles,American,Male,1882
Marie Carlier,French,Female,1920
Richard Carlson,Australian,Male,1941
Jean Carlu,French,Male,1900
