REGENTS OF THE UNIVERSITY OF MICHIGAN,449829,NSF
PURDUE UNIVERSITY,1199969,NSF
SCIENCE MUSEUM OF MINNESOTA  THE,1199539,NSF
OREGON STATE UNIVERSITY,893635,NSF
THE RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK,830000,NSF
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT HOUSTON,147000,NSF
UNIVERSITY OF CHICAGO  THE,984096,NSF
LELAND STANFORD JUNIOR UNIVERSITY  THE,825000,NSF
NEW YORK UNIVERSITY,655707,NSF
UNIVERSITY SYSTEM OF NEW HAMPSHIRE,9750,NSF
AMERICAN MUSEUM OF NATURAL HISTORY  THE,150001,NSF
UNIVERSITY OF ROCHESTER,91000,NSF
ILLINOIS STATE UNIVERSITY,700046,NSF
UNIVERSITY OF SOUTH CAROLINA,50000,NSF
NORTHWESTERN UNIVERSITY,255487,NSF
WASHINGTON AND LEE UNIVERSITY  THE,87630,NSF
UNIVERSITY OF MEMPHIS,1342970,NSF
GEORGIA TECH RESEARCH CORPORATION,149810,NSF
PURDUE UNIVERSITY,999079,NSF
NORTHERN ILLINOIS UNIVERSITY INC,219815,NSF
UNIVERSITY OF MISSOURI SYSTEM,294559,NSF
VASSAR COLLEGE,833314,NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN,340000,NSF
DREXEL UNIVERSITY,548367,NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN,50000,NSF
SAN JOSE STATE UNIVERSITY RESEARCH FOUNDATION,249283,NSF
UNIVERSITY OF MISSOURI SYSTEM,100000,NSF
SAN FRANCISCO STATE UNIVERSITY,166647,NSF
UNIVERSITY OF CONNECTICUT,140000,NSF
NORTHERN ILLINOIS UNIVERSITY INC,5000,NSF
VANDERBILT UNIVERSITY  THE,50000,NSF
DUKE UNIVERSITY,132908,NSF
UNIVERSITY OF SOUTHERN CALIFORNIA,482252,NSF
HOFSTRA UNIVERSITY,1199737,NSF
UNIVERSITY OF ILLINOIS,799943,NSF
UNIVERSITY OF CALIFORNIA  DAVIS,1029674,NSF
NEW YORK HALL OF SCIENCE,1195109,NSF
UNIVERSITY OF WASHINGTON,750000,NSF
UNIVERSITY OF CHICAGO  THE,186000,NSF
TRUSTEES OF HAMPSHIRE COLLEGE,42000,NSF
UNIVERSITY OF TEXAS AT AUSTIN,220000,NSF
CARNEGIE MELLON UNIVERSITY,1455306,NSF
UNIVERSITY OF KANSAS CENTER FOR RESEARCH  INC.,178043,NSF
NEW YORK UNIVERSITY,210000,NSF
UNIVERSITY OF SOUTHERN CALIFORNIA,580000,NSF
PENNSYLVANIA STATE UNIVERSITY  THE,1932787,NSF
UNIVERSITY OF PITTSBURGH THE,200000,NSF
UNIVERSITY OF CALIFORNIA  LOS ANGELES,299880,NSF
UNIVERSITY OF CALIFORNIA  SAN DIEGO,286354,NSF
UNIVERSITY OF ALASKA FAIRBANKS,1707331,NSF
YORK COLLEGE OF PENNSYLVANIA,83462,NSF
LELAND STANFORD JUNIOR UNIVERSITY  THE,240000,NSF
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,300000,NSF
UNIVERSITY OF OKLAHOMA,72789,NASA
NEW JERSEY INSTITUTE OF TECHNOLOGY,75000,NASA
UNIVERSITY OF WASHINGTON,30000,NASA
REGENTS OF THE UNIVERSITY OF COLORADO  THE,30119,NASA
PLANETARY SCIENCE INSTITUTE,86000,NASA
UNIVERSITY OF HAWAII SYSTEMS,105000,NASA
UNIVERSITY OF HAWAII SYSTEMS,110000,NASA
WEST VIRGINIA UNIVERSITY RESEARCH CORPORATION,146252,NASA
TEXAS A&M ENGINEERING EXPERIMENT STATION,32500,NASA
UNIVERSITY SYSTEM OF NEW HAMPSHIRE,36138,NASA
UTAH STATE UNIVERSITY RESEARCH FOUNDATION,899993,NSF
NORTH CAROLINA STATE UNIVERSITY,180000,NSF
UNIVERSITY OF NEBRASKA,89925,NSF
COLLEGE OF WILLIAM & MARY  THE,512613,NSF
UNIVERSITY OF PITTSBURGH THE,584000,NSF
NORTHEASTERN UNIVERSITY,250000,NSF
LELAND STANFORD JUNIOR UNIVERSITY  THE,510000,NSF
